budget;homepage;id;original_language;original_title;popularity;release_date;revenue;runtime;status;tagline;title;vote_average;vote_count
150000000;http://www.madmaxmovie.com/;76341;en;Mad Max: Fury Road;434.278.564;13/05/2015;378858340;120;Released;What a Lovely Day.;Mad Max: Fury Road;7.2;9427
150000000;http://www.angelsanddemons.com/;13448;en;Angels & Demons;67.447.636;13/05/2009;356613439;138;Released;;Angels & Demons;6.5;2129
150000000;http://thor.marvel.com/;10195;en;Thor;86.493.424;21/04/2011;449326618;115;Released;Two worlds. One hero.;Thor;6.6;6525
150000000;http://movies.disney.com/bolt;13053;en;Bolt;41.845.878;21/11/2008;309979994;98;Released;Fully Awesome. Ridonculous. Let It Begin.;Bolt;6.3;1750
150000000;http://disney.go.com/disneypictures/gforce/;19585;en;G-Force;26.710.398;21/07/2009;292817841;88;Released;The world needs bigger heroes;G-Force;5.1;510
150000000;http://www.wrathofthetitansmovie.org;57165;en;Wrath of the Titans;44.927.635;27/03/2012;301000000;99;Released;Feel the Wrath;Wrath of the Titans;5.5;1431
150000000;http://darkshadowsmovie.warnerbros.com;62213;en;Dark Shadows;50.306.728;08/05/2012;245527149;113;Released;Every Family Has Its Demons;Dark Shadows;5.7;2320
150000000;http://www.missionimpossible.com;177677;en;Mission: Impossible - Rogue Nation;114.522.237;23/07/2015;682330139;131;Released;Desperate Times. Desperate Measures.;Mission: Impossible - Rogue Nation;7.1;3224
150000000;http://www.thewolfmanmovie.com/;7978;en;The Wolfman;21.214.571;11/02/2010;0;102;Released;When the moon is full the legend comes to life;The Wolfman;5.5;549
150000000;http://www.beemovie.com/;5559;en;Bee Movie;29.332.905;28/10/2007;287594577;91;Released;Born to bee wild.;Bee Movie;5.7;1171
150000000;http://www.thelastairbendermovie.com/;10196;en;The Last Airbender;33.769.336;30/06/2010;318502923;103;Released;Four nations, one destiny;The Last Airbender;4.7;1151
150000000;http://www.missionimpossible.com/;956;en;Mission: Impossible III;63.079.003;03/05/2006;397850012;126;Released;The Mission Begins 05:05:06.;Mission: Impossible III;6.5;2028
150000000;;117251;en;White House Down;39.004.588;27/06/2013;205366737;131;Released;It will start like any other day.;White House Down;6.4;1891
150000000;http://disney.go.com/disneypictures/marsneedsmoms/#home;50321;en;Mars Needs Moms;12.362.599;09/03/2011;38992758;88;Released;Mom needs a little space.;Mars Needs Moms;5.5;199
149000000;http://www.dreamworksanimation.com/flushed/;11619;en;Flushed Away;22.550.135;22/10/2006;64459316;85;Released;Someone's Going Down;Flushed Away;6;874
150000000;;266647;en;Pan;4.803.528;24/09/2015;128388320;111;Released;Every legend has a beginning.;Pan;5.9;954
145000000;;82703;en;Mr. Peabody & Sherman;3.873.494;07/02/2014;272912430;92;Released;He's Leaving His Mark On History;Mr. Peabody & Sherman;6.7;843
175000000;;652;en;Troy;66.803.149;13/05/2004;497409852;163;Released;For passion. For honor. For destiny. For victory. For love.;Troy;6.9;2759
145000000;;80321;en;Madagascar 3: Europe's Most Wanted;44.989.192;06/06/2012;746921274;93;Released;Six years ago, they disappeared without a trace. Next summer, they finally resurface.;Madagascar 3: Europe's Most Wanted;6.4;1808
140000000;http://www.mgm.com/view/movie/232/Die-Another-Day/;36669;en;Die Another Day;54.159.392;17/11/2002;431971116;133;Released;He’s never been cooler.;Die Another Day;5.8;1092
144000000;http://www.ghostbusters.com/;43074;en;Ghostbusters;6.621.806;14/07/2016;229147509;116;Released;Who You Gonna Call?;Ghostbusters;5.3;2142
140000000;;95;en;Armageddon;58.485.967;01/07/1998;553799566;151;Released;The Earth's Darkest Day Will Be Man's Finest Hour;Armageddon;6.4;2482
140000000;http://www.sonypictures.com/homevideo/meninblackii/;608;en;Men in Black II;91.332.849;03/07/2002;441818803;88;Released;Same Planet. New Scum.;Men in Black II;6;3114
70000000;http://www.beowulfmovie.com/;2310;en;Beowulf;35.601.665;05/11/2007;195735876;115;Released;Evil breeds pain.;Beowulf;5.5;841
145000000;http://www.kungfupanda.com/;140300;en;Kung Fu Panda 3;56.747.978;23/01/2016;521170825;95;Released;Grab destiny by the rice dumplings.;Kung Fu Panda 3;6.7;1603
145000000;http://www.missionimpossible.com/;56292;en;Mission: Impossible - Ghost Protocol;7.777.477;07/12/2011;694713380;133;Released;No Plan. No Backup. No Choice.;Mission: Impossible - Ghost Protocol;6.8;3972
145000000;http://www.riseoftheguardians.com/;81188;en;Rise of the Guardians;61.788.035;21/11/2012;306941670;97;Released;You better believe.;Rise of the Guardians;7.1;1922
100000000;http://www.sonypictures.com/movies/funwithdickandjane/;7552;en;Fun with Dick and Jane;25.159.168;21/12/2005;202026112;90;Released;Giving big businesses a run for their money!;Fun with Dick and Jane;5.9;627
140000000;;616;en;The Last Samurai;52.341.226;05/12/2003;456758981;154;Released;In the face of an enemy, in the heart of one man, lies the soul of a warrior.;The Last Samurai;7.3;1895
140000000;http://www.exodusgodsandkings.com/;147441;en;Exodus: Gods and Kings;101.599.427;03/12/2014;268031828;150;Released;Once brothers, now enemies.;Exodus: Gods and Kings;5.6;1921
150000000;;13475;en;Star Trek;73.616.808;06/05/2009;385680446;127;Released;The future begins.;Star Trek;7.4;4518
139000000;http://www.sonypictures.com/movies/spider-man/;557;en;Spider-Man;82.502.566;01/05/2002;821708551;121;Released;With great power comes great responsibility.;Spider-Man;6.8;5265
145000000;http://www.howtotrainyourdragon.com/;82702;en;How to Train Your Dragon 2;10.021.391;12/06/2014;609123048;102;Released;The training is over.;How to Train Your Dragon 2;7.6;3106
140000000;;205584;en;Gods of Egypt;56.257.249;25/02/2016;150680864;127;Released;The battle for eternity begins;Gods of Egypt;5.3;1277
135000000;;10048;en;Stealth;1.788.953;28/07/2005;76932943;121;Released;Fear The Sky;Stealth;4.9;331
130000000;https://www.warnerbros.com/watchmen;13183;en;Watchmen;64.798.873;05/03/2009;185258983;163;Released;Justice is coming to all of us.  No matter what we do.;Watchmen;7;2811
140000000;;944;en;Lethal Weapon 4;24.855.701;10/07/1998;285444603;127;Released;The faces you love. The action you expect.;Lethal Weapon 4;6.3;767
137000000;;1927;en;Hulk;34.981.698;19/06/2003;245360480;138;Released;Unleash the hero within;Hulk;5.3;1533
130000000;;7364;en;Sahara;21.605.568;06/04/2005;119269486;124;Released;Dirk Pitt. Adventure has a new name.;Sahara;5.7;434
137000000;;2114;en;Final Fantasy: The Spirits Within;26.074.908;02/07/2001;85131830;106;Released;Unleash a new reality;Final Fantasy: The Spirits Within;5.9;433
140000000;http://captainamerica.marvel.com/;1771;en;Captain America: The First Avenger;74.506.246;22/07/2011;370569774;124;Released;When patriots become heroes;Captain America: The First Avenger;6.6;7047
135000000;http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/;36643;en;The World Is Not Enough;39.604.363;08/11/1999;361832400;128;Released;As the countdown begins for the new millennium there is still one number you can always count on.;The World Is Not Enough;6;862
150000000;http://www.masterandcommanderthefarsideoftheworld.com/;8619;en;Master and Commander: The Far Side of the World;36.973.031;14/11/2003;212011111;138;Released;The courage to do the impossible lies in the hearts of men.;Master and Commander: The Far Side of the World;6.9;790
120000000;;50620;en;The Twilight Saga: Breaking Dawn - Part 2;99.687.084;13/11/2012;829000000;115;Released;The epic finale that will live forever;The Twilight Saga: Breaking Dawn - Part 2;6.1;2553
130000000;http://happyfeettwo.warnerbros.com/index.html;65759;en;Happy Feet Two;177.735;17/11/2011;150406466;100;Released;Every step counts.;Happy Feet Two;5.8;373
150000000;;1724;en;The Incredible Hulk;62.898.336;12/06/2008;163712074;114;Released;You'll like him when he's angry.;The Incredible Hulk;6.1;3021
140000000;http://movies.disney.com/the-bfg;267935;en;The BFG;4.419.092;01/06/2016;183345589;120;Released;The world is more giant than you can imagine.;The BFG;6;1000
135000000;http://www.foxmovies.com/movies/the-revenant;281957;en;The Revenant;100.635.882;25/12/2015;532950503;156;Released;(n. One who has returned, as if from the dead.);The Revenant;7.3;6396
135000000;http://www.turbomovie.com/;77950;en;Turbo;44.765.377;11/07/2013;282570682;96;Released;SLO NO MO;Turbo;6.1;1074
135000000;http://www.rangomovie.com/;44896;en;Rango;2.991.353;02/03/2011;245724603;107;Released;Heroes come in all different colors.;Rango;6.6;2051
132000000;;270946;en;Penguins of Madagascar;84.366.984;22/11/2014;373552094;92;Released;The Movie Event That Will Blow Their Cover;Penguins of Madagascar;6.5;1346
70000000;http://www.universalstudiosentertainment.com/the-bourne-ultimatum/;2503;en;The Bourne Ultimatum;45.381.501;03/08/2007;442824138;115;Released;Remember everything. Forgive nothing.;The Bourne Ultimatum;7.3;2888
130000000;http://www.kungfupanda.com/;9502;en;Kung Fu Panda;84.689.648;04/06/2008;631744560;90;Released;Prepare for awesomeness.;Kung Fu Panda;6.9;3145
130000000;http://marvel.com/movies/movie/180/ant-man;102899;en;Ant-Man;12.009.361;14/07/2015;519311965;117;Released;Heroes don't get any bigger.;Ant-Man;7;5880
130000000;http://www.thehungergames.movie/;101299;en;The Hunger Games: Catching Fire;76.310.119;15/11/2013;847423452;146;Released;Every revolution begins with a spark.;The Hunger Games: Catching Fire;7.4;6495
135000000;http://www.meettheboov.com/;228161;en;Home;63.473.086;18/03/2015;368871007;94;Released;Worlds Collide;Home;6.8;1519
132000000;;74;en;War of the Worlds;48.572.726;28/06/2005;591739379;116;Released;They're already here.;War of the Worlds;6.2;2322
130000000;;8961;en;Bad Boys II;38.068.736;18/07/2003;273339556;147;Released;If you can't stand the heat, get out of Miami.;Bad Boys II;6.3;1564
130000000;;417859;en;Puss in Boots;20.678.787;28/10/2011;554987477;90;Released;Live for danger. Fight for justice. Pray for mercy.;Puss in Boots;6.4;451
110000000;http://www.sonypictures.com/homevideo/salt/;27576;en;Salt;48.829.437;21/07/2010;293329073;100;Released;Who is Salt?;Salt;6.2;2093
125000000;http://www.noahmovie.com;86834;en;Noah;46.115.758;20/03/2014;362637473;139;Released;The end of the world is just the beginning.;Noah;5.6;2350
130000000;;673;en;Harry Potter and the Prisoner of Azkaban;79.679.601;31/05/2004;789804554;141;Released;Something wicked this way comes.;Harry Potter and the Prisoner of Azkaban;7.7;5877
130000000;;6972;en;Australia;28.840.997;18/11/2008;49554002;165;Released;Welcome to Australia!;Australia;6.3;694
130000000;;82700;en;After Earth;42.840.582;30/05/2013;243843127;100;Released;Danger is real, fear is a choice;After Earth;5;2532
127500000;;10567;en;Dinosaur;26.548.594;19/05/2000;354248063;82;Released;You have never seen anything like this.;Dinosaur;6.2;542
127000000;;181533;en;Night at the Museum: Secret of the Tomb;115.597.753;17/12/2014;349424282;97;Released;One Final Night to Save the Day.;Night at the Museum: Secret of the Tomb;6.1;1851
130000000;http://www.megamind.com;38055;en;Megamind;68.757.242;28/10/2010;321887208;95;Released;His brain is off the chain.;Megamind;6.7;1918
125000000;http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html;671;en;Harry Potter and the Philosopher's Stone;109.984.351;16/11/2001;976475550;152;Released;Let the Magic Begin.;Harry Potter and the Philosopher's Stone;7.5;7006
130000000;http://www.ripd.com/;49524;en;R.I.P.D.;39.448.066;18/07/2013;61648500;96;Released;To protect and serve the living;R.I.P.D.;5.4;1260
140000000;http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html;22;en;Pirates of the Caribbean: The Curse of the Black Pearl;271.972.889;09/07/2003;655011224;143;Released;Prepare to be blown out of the water.;Pirates of the Caribbean: The Curse of the Black Pearl;7.5;6985
125000000;http://www.thehungergames.movie/;131631;en;The Hunger Games: Mockingjay - Part 1;206.227.151;18/11/2014;752100229;123;Released;Fire burns brighter in the darkness;The Hunger Games: Mockingjay - Part 1;6.6;5584
125000000;http://www.sonypictures.com/homevideo/thedavincicode/index.html;591;en;The Da Vinci Code;45.313.197;17/05/2006;767820459;149;Released;Seek the truth.;The Da Vinci Code;6.5;2704
103000000;http://www.riomovies.com/;172385;en;Rio 2;4.240.024;19/03/2014;500188435;102;Released;He's villainous, she's venomous.;Rio 2;6.3;978
110000000;;36658;en;X2;2.871.739;24/04/2003;407711549;133;Released;The time has come for those who are different to stand united.;X2;6.8;3506
125000000;http://www.watchvideoseries.com/movies/fast-five-2011-2/;51497;en;Fast Five;7.255.718;20/04/2011;626137675;130;Released;Get the Fifth Gear.;Fast Five;7.1;2438
125000000;http://sherlockholmes2.warnerbros.com/index.html;58574;en;Sherlock Holmes: A Game of Shadows;81.499.621;22/11/2011;334615000;129;Released;The game is afoot.;Sherlock Holmes: A Game of Shadows;7;3886
125000000;http://www.clash-of-the-titans.com/;18823;en;Clash of the Titans;47.686.442;01/04/2010;232713139;106;Released;Titans will clash.;Clash of the Titans;5.6;2233
65000000;;861;en;Total Recall;43.129.703;01/06/1990;261317921;113;Released;They stole his mind, now he wants it back.;Total Recall;7.1;1710
160000000;;1911;en;The 13th Warrior;27.220.157;27/08/1999;61698899;102;Released;Prey for the living.;The 13th Warrior;6.4;510
130000000;http://www.thebournelegacy.com/;49040;en;The Bourne Legacy;9.033.681;08/08/2012;276572938;120;Released;There Was Never Just One;The Bourne Legacy;6;2651
125000000;;415;en;Batman & Robin;50.073.575;20/06/1997;238207122;125;Released;Strength. Courage. Honor. And loyalty.;Batman & Robin;4.2;1418
123000000;http://www.grinched.com/;8871;en;How the Grinch Stole Christmas;45.419.668;17/11/2000;345141403;104;Released;He puts the mean in green.;How the Grinch Stole Christmas;6.2;1386
125000000;http://www.thedayaftertomorrow.com/;435;en;The Day After Tomorrow;41.380.094;26/05/2004;544272402;124;Released;Where will you be?;The Day After Tomorrow;6.2;2392
125000000;http://www.missionimpossible.com/;955;en;Mission: Impossible II;54.931.334;24/05/2000;546388105;123;Released;Expect the impossible again.;Mission: Impossible II;5.9;1928
120000000;;2133;en;The Perfect Storm;25.752.118;15/03/2000;325756637;130;Released;The storm is coming.;The Perfect Storm;6.2;597
130000000;;1979;en;4: Rise of the Silver Surfer;60.810.723;13/06/2007;289047763;92;Released;Discover the secret of the Surfer.;Fantastic 4: Rise of the Silver Surfer;5.4;2589
120000000;http://www.lifeofpimovie.com/;87827;en;Life of Pi;51.328.145;20/11/2012;609016565;127;Released;Believe The Unbelievable;Life of Pi;7.2;5797
110000000;http://www.sonypictures.com/movies/ghostrider/;1250;en;Ghost Rider;46.834.704;16/02/2007;228738393;114;Released;Hell Is About To Be Unleashed;Ghost Rider;5.2;1712
120000000;http://www.jasonbournemovie.com;324668;en;Jason Bourne;62.641.286;27/07/2016;415484914;123;Released;You know his name;Jason Bourne;5.9;2341
120000000;;9471;en;Charlie's Angels: Full Throttle;33.616.115;27/06/2003;259175788;106;Released;This summer the Angels are back.;Charlie's Angels: Full Throttle;5.2;914
130000000;http://www.projectprometheus.com/;70981;en;Prometheus;68.889.395;30/05/2012;403170142;124;Released;The Search for Our Beginning Could Lead to Our End.;Prometheus;6.3;5080
120000000;;10996;en;Stuart Little 2;27.990.284;19/07/2002;169956806;78;Released;A Little Goes A Long Way;Stuart Little 2;5.4;613
115000000;;68724;en;Elysium;6.733.767;07/08/2013;286140700;109;Released;He can save us all.;Elysium;6.4;3439
105000000;;2789;en;The Chronicles of Riddick;27.835.436;11/06/2004;115772733;119;Released;All the power in the universe can't change destiny;The Chronicles of Riddick;6.3;1570
120000000;http://www.robocop.com;97020;en;RoboCop;66.757.869;30/01/2014;242688965;102;Released;We've got the future under control.;RoboCop;5.7;2342
120000000;http://www.speedracerthemovie.warnerbros.com/;7459;en;Speed Racer;17.060.695;09/05/2008;93945766;135;Released;Go!;Speed Racer;5.7;354
120000000;http://www.howdoyouknow-movie.com/;42888;en;How Do You Know;11.137.655;17/12/2010;48668907;121;Released;How do you know it's love?;How Do You Know;4.9;223
117000000;http://www.knightanddaymovie.com;37834;en;Knight and Day;44.906.918;15/06/2010;261930431;109;Released;Every Hit Man Deserves a Second Shot!;Knight and Day;5.9;1547
120000000;https://www.uphe.com/movies/oblivion;75612;en;Oblivion;67.698.004;10/04/2013;286168572;124;Released;Earth is a memory worth fighting for;Oblivion;6.4;4800
113000000;http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith;1895;en;Star Wars: Episode III - Revenge of the Sith;44.108.427;17/05/2005;850000000;140;Released;The saga is complete.;Star Wars: Episode III - Revenge of the Sith;7.1;4116
120000000;http://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones;1894;en;Star Wars: Episode II - Attack of the Clones;43.987.061;15/05/2002;649398328;142;Released;A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.;Star Wars: Episode II - Attack of the Clones;6.4;3992
115000000;http://movies.disney.com/monsters-inc;585;en;Monsters, Inc.;106.815.545;01/11/2001;562816256;92;Released;We Scare Because We Care.;Monsters, Inc.;7.5;5996
120000000;http://www.thewolverinemovie.com;76170;en;The Wolverine;15.953.444;23/07/2013;415440673;126;Released;When he's most vulnerable, he's most dangerous.;The Wolverine;6.3;4053
115000000;http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace;1893;en;Star Wars: Episode I - The Phantom Menace;54.035.265;19/05/1999;924317558;136;Released;Every generation has a legend. Every journey has a first step. Every saga has a beginning.;Star Wars: Episode I - The Phantom Menace;6.3;4432
135000000;http://www.thecroodsmovie.com/;49519;en;The Croods;64.183.321;20/03/2013;585178928;98;Released;Meet the first modern family.;The Croods;6.8;2399
97250400;http://www.asterixauxjeuxolympiques.com/index.php;2395;fr;Astérix aux Jeux Olympiques;20.344.364;13/01/2008;132900000;116;Released;;Asterix at the Olympic Games;5;471
115000000;;12100;en;Windtalkers;18.714.197;14/06/2002;77628265;134;Released;Honor Was Their Code.;Windtalkers;5.8;341
115000000;http://www.thehuntsmanmovie.com/;290595;en;The Huntsman: Winter's War;60.467.984;06/04/2016;164602163;114;Released;The story before Snow White;The Huntsman: Winter's War;6;1523
125000000;http://www.teenagemutantninjaturtlesmovie.com;98566;en;Teenage Mutant Ninja Turtles;143.350.376;07/08/2014;477200000;101;Released;Mysterious. Dangerous. Reptilious. You've never seen heroes like this.;Teenage Mutant Ninja Turtles;5.8;2636
105000000;http://gravitymovie.warnerbros.com/;49047;en;Gravity;110.153.618;27/09/2013;716392705;91;Released;Don't Let Go;Gravity;7.3;5751
116000000;;9619;en;Dante's Peak;1.690.444;07/02/1997;178127760;108;Released;The pressure is building...;Dante's Peak;5.7;428
135000000;http://www.teenagemutantninjaturtlesmovie.com/;308531;en;Teenage Mutant Ninja Turtles: Out of the Shadows;39.873.791;01/06/2016;245623848;112;Released;Raise some shell.;Teenage Mutant Ninja Turtles: Out of the Shadows;5.8;963
120000000;http://www.fantasticfourmovie.com/;166424;en;Fantastic Four;38.126.095;05/08/2015;167977596;100;Released;Change is coming.;Fantastic Four;4.4;2278
110000000;;1593;en;Night at the Museum;48.780.039;20/10/2006;574480841;108;Released;Where History Comes To Life;Night at the Museum;6.3;2862
110000000;http://www.sanandreasmovie.com/;254128;en;San Andreas;100.412.364;27/05/2015;470490832;114;Released;A rescue pilot survived an earthquake, this is what happens next;San Andreas;6;2968
110000000;http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/;714;en;Tomorrow Never Dies;42.887.121;11/12/1997;333011068;119;Released;Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.;Tomorrow Never Dies;6;925
110000000;;2024;en;The Patriot;23.657.284;28/06/2000;215294342;165;Released;Some things are worth fighting for.;The Patriot;6.8;1099
110000000;http://oceans12.warnerbros.com/;163;en;Ocean's Twelve;76.840.712;09/12/2004;362744280;125;Released;Twelve is the new eleven.;Ocean's Twelve;6.4;2124
110000000;;787;en;Mr. & Mrs. Smith;44.635.452;07/06/2005;478207520;120;Released;Smart and sexy.;Mr. & Mrs. Smith;6.5;2965
110000000;http://www.thedivergentseries.movie/#insurgent;262500;en;Insurgent;103.718.387;18/03/2015;295238201;119;Released;One Choice Can Destroy You;Insurgent;6.2;3829
116000000;;2567;en;The Aviator;45.616.098;17/12/2004;102000000;170;Released;For some men, the sky was the limit. For him, it was just the beginning.;The Aviator;7;1489
112000000;;38745;en;Gulliver's Travels;22.845.143;25/12/2010;237382724;85;Released;Something big is going down.;Gulliver's Travels;4.9;621
120000000;http://www.sonypictures.com/movies/thegreenhornet/;40805;en;The Green Hornet;31.703.608;12/01/2011;227817248;119;Released;Breaking the Law to Protect It.;The Green Hornet;5.5;1251
110000000;http://www.300themovie.com/;53182;en;300: Rise of an Empire;71.510.596;05/03/2014;337580051;102;Released;Seize your glory!;300: Rise of an Empire;6.1;2397
110000000;http://www.smurfhappens.com/;41513;en;The Smurfs;3.665.422;29/07/2011;563749323;103;Released;Smurf Happens.;The Smurfs;5.5;1179
110000000;http://movies.disney.com/home-on-the-range;13700;en;Home on the Range;19.625.972;02/04/2004;103951461;76;Released;Bust a Moo;Home on the Range;5.7;389
110000000;http://www.thedivergentseries.movie/#allegiant;262504;en;Allegiant;86.105.615;09/03/2016;179246868;121;Released;Break the boundaries of your world;Allegiant;5.9;1998
110000000;http://www.steelgetsreal.com/;39254;en;Real Steel;37.195.046;28/09/2011;299268508;127;Released;If you get one shot, make it real.;Real Steel;6.6;2692
105000000;http://smurfhappens.com;77931;en;The Smurfs 2;32.473.628;30/07/2013;347434178;105;Released;Get ready to get naughty!;The Smurfs 2;5.5;695
160000000;;1639;en;Speed 2: Cruise Control;23.336.875;13/06/1997;164508066;121;Released;As the stakes get higher, the ride gets even faster.;Speed 2: Cruise Control;4.1;434
110000000;http://www.if-sentinel.com/;80274;en;Ender's Game;4.594.834;23/10/2013;125537191;114;Released;This is not a game.;Ender's Game;6.6;2303
110000000;;1571;en;Live Free or Die Hard;4.893.337;20/06/2007;383531464;128;Released;The old school cop is back!;Live Free or Die Hard;6.4;2089
93000000;http://www.lordoftherings.net/;120;en;The Lord of the Rings: The Fellowship of the Ring;138.049.577;18/12/2001;871368364;178;Released;One ring to rule them all;The Lord of the Rings: The Fellowship of the Ring;8;8705
110000000;;10204;en;Around the World in 80 Days;22.643.776;16/06/2004;72178895;120;Released;Let your imagination soar.;Around the World in 80 Days;5.7;672
